split,graph_id,contract,positive_interaction_count,vulnerable_interaction_ids,vulnerable_function_names,source_spans,vulnerability_types,evidence_pointers,supports_top1_top3_top5_mrr_recall_at_k,missing_source_span_count,missing_evidence_pointer_count
train,DAPP::DAppSCAN-source/contracts/Runtime_Vеrification-stakefish_ethereum_staking_audit_report/eth2-validation-services-contract-d91928f3a270f6115831fe3a21a69eb98bf57b26::StakefishERC721Wrapper,StakefishERC721Wrapper,1,i:mintTo,mintTo,L53-L71,Reentrancy (SWC-107)|SWC-107-Reentrancy,DAppSCAN-source/contracts/Runtime_Vеrification-stakefish_ethereum_staking_audit_report/eth2-validation-services-contract-d91928f3a270f6115831fe3a21a69eb98bf57b26/contracts/StakefishERC721Wrapper.sol:53-71|DAppSCAN-source/contracts/Runtime_Vеrification-stakefish_ethereum_staking_audit_report/eth2-validation-services-contract-d91928f3a270f6115831fe3a21a69eb98bf57b26/contracts/StakefishERC721Wrapper.sol:L53-L71,True,0,0
train,DAPP::DAppSCAN-source/contracts/Trail_of_Bits-UniswapV3Core/v3-core-99223f33fd69a9e024f00bd8eea17b029d3f8f2d::UniswapV3Pool,UniswapV3Pool,1,i:initialize,initialize,L195 - L213,Front-running / Tx Order (SWC-114)|SWC-114-Transaction Order Dependence,DAppSCAN-source/contracts/Trail_of_Bits-UniswapV3Core/v3-core-99223f33fd69a9e024f00bd8eea17b029d3f8f2d/contracts/UniswapV3Pool.sol:195-213|DAppSCAN-source/contracts/Trail_of_Bits-UniswapV3Core/v3-core-99223f33fd69a9e024f00bd8eea17b029d3f8f2d/contracts/UniswapV3Pool.sol:L195 - L213,True,0,0
train,DAPP::DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607::Wrapper,Wrapper,1,i:swap,swap,L152,Unchecked Call Return (SWC-104)|SWC-104-Unchecked Call Return Value,DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607/source/wrapper/contracts/Wrapper.sol:152-152|DAppSCAN-source/contracts/PeckShield-AirSwap/airswap-protocols-b87d292aaf6e28ede564b7ea28ece39219994607/source/wrapper/contracts/Wrapper.sol:L152,True,0,0
train,DAPP::DAppSCAN-source/contracts/Runtime_Vеrification-Element_Finance_Governance_Security_Audit_Report/council-3d751c959b42573c78ccd0bccbc80424bf6d9a90::CoreVoting,CoreVoting,1,i:execute,execute,L238 - L277,Reentrancy (SWC-107)|SWC-107-Reentrancy,DAppSCAN-source/contracts/Runtime_Vеrification-Element_Finance_Governance_Security_Audit_Report/council-3d751c959b42573c78ccd0bccbc80424bf6d9a90/contracts/CoreVoting.sol:238-277|DAppSCAN-source/contracts/Runtime_Vеrification-Element_Finance_Governance_Security_Audit_Report/council-3d751c959b42573c78ccd0bccbc80424bf6d9a90/contracts/CoreVoting.sol:L238 - L277,True,0,0
train,DAPP::DAppSCAN-source/contracts/Trail_of_Bits-FraxQ42021/frax-solidity-bd40775e283923aa9e32a107abd426430a99835e::TWAMM,TWAMM,1,i:provideLiquidity,provideLiquidity,L135-L136,Unchecked Call Return (SWC-104)|SWC-104-Unchecked Call Return Value,DAppSCAN-source/contracts/Trail_of_Bits-FraxQ42021/frax-solidity-bd40775e283923aa9e32a107abd426430a99835e/src/hardhat/contracts/FPI/TWAMM.sol:135-136|DAppSCAN-source/contracts/Trail_of_Bits-FraxQ42021/frax-solidity-bd40775e283923aa9e32a107abd426430a99835e/src/hardhat/contracts/FPI/TWAMM.sol:L135-L136,True,0,0
train,DAPP::DAppSCAN-source/contracts/Trail_of_Bits-88mph/88mph-contracts-76cd9d1fc45e65f5d0f686621fe6af85c40aa140::xMPH,xMPH,3,i:_deposit|i:_withdraw|i:_distributeReward,_deposit|_withdraw|_distributeReward,L178|L196|L212,Unchecked Call Return (SWC-104)|SWC-104-Unchecked Call Return Value,DAppSCAN-source/contracts/Trail_of_Bits-88mph/88mph-contracts-76cd9d1fc45e65f5d0f686621fe6af85c40aa140/contracts/rewards/xMPH.sol:178-178|DAppSCAN-source/contracts/Trail_of_Bits-88mph/88mph-contracts-76cd9d1fc45e65f5d0f686621fe6af85c40aa140/contracts/rewards/xMPH.sol:L178|DAppSCAN-source/contracts/Trail_of_Bits-88mph/88mph-contracts-76cd9d1fc45e65f5d0f686621fe6af85c40aa140/contracts/rewards/xMPH.sol:196-196|DAppSCAN-source/contracts/Trail_of_Bits-88mph/88mph-contracts-76cd9d1fc45e65f5d0f686621fe6af85c40aa140/contracts/rewards/xMPH.sol:L196|DAppSCAN-source/contracts/Trail_of_Bits-88mph/88mph-contracts-76cd9d1fc45e65f5d0f686621fe6af85c40aa140/contracts/rewards/xMPH.sol:212-212|DAppSCAN-source/contracts/Trail_of_Bits-88mph/88mph-contracts-76cd9d1fc45e65f5d0f686621fe6af85c40aa140/contracts/rewards/xMPH.sol:L212,True,0,0
train,DAPP::DAppSCAN-source/contracts/openzeppelin-Solo_Margin_Protocol/solo-17df84db351d5438e1b7437572722b4f52c8b2b4::AdminImpl,AdminImpl,1,i:_setPriceOracle,_setPriceOracle,L258-L275,Reentrancy (SWC-107)|SWC-107-Reentrancy,DAppSCAN-source/contracts/openzeppelin-Solo_Margin_Protocol/solo-17df84db351d5438e1b7437572722b4f52c8b2b4/contracts/protocol/impl/AdminImpl.sol:258-275|DAppSCAN-source/contracts/openzeppelin-Solo_Margin_Protocol/solo-17df84db351d5438e1b7437572722b4f52c8b2b4/contracts/protocol/impl/AdminImpl.sol:L258-L275,True,0,0
train,DAPP::DAppSCAN-source/contracts/PeckShield-StackerVC/StackerVC_VentureFund001-3cfb98b21f4731dfd62993feb7c7d1540837f59b::LPGauge,LPGauge,1,i:deposit,deposit,L75-L89,Reentrancy (SWC-107)|SWC-107-Reentrancy,DAppSCAN-source/contracts/PeckShield-StackerVC/StackerVC_VentureFund001-3cfb98b21f4731dfd62993feb7c7d1540837f59b/contracts/Token/LPGauge.sol:75-89|DAppSCAN-source/contracts/PeckShield-StackerVC/StackerVC_VentureFund001-3cfb98b21f4731dfd62993feb7c7d1540837f59b/contracts/Token/LPGauge.sol:L75-L89,True,0,0
train,DAPP::DAppSCAN-source/contracts/Inspex-WUSDMaster/WUSD-91c541c2f1c0ac781ddcfb2be6a62555a5e1e8d1::WUSDMaster,WUSDMaster,1,i:stake,stake,L703-728,Front-running / Tx Order (SWC-114)|SWC-114-Transaction Order Dependence,DAppSCAN-source/contracts/Inspex-WUSDMaster/WUSD-91c541c2f1c0ac781ddcfb2be6a62555a5e1e8d1/WUSDMaster.sol:703-703|DAppSCAN-source/contracts/Inspex-WUSDMaster/WUSD-91c541c2f1c0ac781ddcfb2be6a62555a5e1e8d1/WUSDMaster.sol:L703-728,True,0,0
train,DAPP::DAppSCAN-source/contracts/PeckShield-Rikkei/rifi-protocol-b33243fb3a218cc195f0727fe1499cb57f5ea0b2::RToken,RToken,1,i:borrowFresh,borrowFresh,L738-L802,Reentrancy (SWC-107)|SWC-107-Reentrancy,DAppSCAN-source/contracts/PeckShield-Rikkei/rifi-protocol-b33243fb3a218cc195f0727fe1499cb57f5ea0b2/contracts/RToken.sol:738-802|DAppSCAN-source/contracts/PeckShield-Rikkei/rifi-protocol-b33243fb3a218cc195f0727fe1499cb57f5ea0b2/contracts/RToken.sol:L738-L802,True,0,0
train,DAPP::DAppSCAN-source/contracts/Coinfabrik-Woonkly Security Audit (DEX STAKE)/STAKESmartContractPreRelease-main::WOOPStake,WOOPStake,1,i:processReward,processReward,L743 - L769,Reentrancy (SWC-107)|SWC-107-Reentrancy,DAppSCAN-source/contracts/Coinfabrik-Woonkly Security Audit (DEX STAKE)/STAKESmartContractPreRelease-main/woonklyPOS.sol:743-769|DAppSCAN-source/contracts/Coinfabrik-Woonkly Security Audit (DEX STAKE)/STAKESmartContractPreRelease-main/woonklyPOS.sol:L743 - L769,True,0,0
train,DAPP::DAppSCAN-source/contracts/Hacken-Hyksos/hyksos-contracts-audit::HyksosCyberkongz,HyksosCyberkongz,3,i:payErc20|i:depositErc20|i:withdrawErc20,payErc20|depositErc20|withdrawErc20,L35-37|L39-46|L48-54,Unchecked Call Return (SWC-104)|SWC-104-Unchecked Call Return Value,DAppSCAN-source/contracts/Hacken-Hyksos/hyksos-contracts-audit/HyksosCyberkongz.sol:35-35|DAppSCAN-source/contracts/Hacken-Hyksos/hyksos-contracts-audit/HyksosCyberkongz.sol:L35-37|DAppSCAN-source/contracts/Hacken-Hyksos/hyksos-contracts-audit/HyksosCyberkongz.sol:39-39|DAppSCAN-source/contracts/Hacken-Hyksos/hyksos-contracts-audit/HyksosCyberkongz.sol:L39-46|DAppSCAN-source/contracts/Hacken-Hyksos/hyksos-contracts-audit/HyksosCyberkongz.sol:48-48|DAppSCAN-source/contracts/Hacken-Hyksos/hyksos-contracts-audit/HyksosCyberkongz.sol:L48-54,True,0,0
train,DAPP::DAppSCAN-source/contracts/QuillAudits-Yearn Finance-Yearn Protocol V1/yearn-protocol-9ff0dc0ea73642c529383d0675930a41bf033295::yWETH,yWETH,2,i:depositETH|i:withdrawETH,depositETH|withdrawETH,L90 - L104|L144 - L162,Reentrancy (SWC-107)|SWC-107-Reentrancy,DAppSCAN-source/contracts/QuillAudits-Yearn Finance-Yearn Protocol V1/yearn-protocol-9ff0dc0ea73642c529383d0675930a41bf033295/contracts/vaults/yWETH.sol:90-104|DAppSCAN-source/contracts/QuillAudits-Yearn Finance-Yearn Protocol V1/yearn-protocol-9ff0dc0ea73642c529383d0675930a41bf033295/contracts/vaults/yWETH.sol:L90 - L104|DAppSCAN-source/contracts/QuillAudits-Yearn Finance-Yearn Protocol V1/yearn-protocol-9ff0dc0ea73642c529383d0675930a41bf033295/contracts/vaults/yWETH.sol:144-162|DAppSCAN-source/contracts/QuillAudits-Yearn Finance-Yearn Protocol V1/yearn-protocol-9ff0dc0ea73642c529383d0675930a41bf033295/contracts/vaults/yWETH.sol:L144 - L162,True,0,0
train,DAPP::DAppSCAN-source/contracts/Inspex-CakeMaxi/bsc-alpaca-contract-20c4c545a0323b71d2969fd79db8316e60bc7d76::CakeMaxiWorker,CakeMaxiWorker,1,i:reinvest,reinvest,L150-186,Front-running / Tx Order (SWC-114)|SWC-114-Transaction Order Dependence,DAppSCAN-source/contracts/Inspex-CakeMaxi/bsc-alpaca-contract-20c4c545a0323b71d2969fd79db8316e60bc7d76/CakeMaxiWorker.sol:150-150|DAppSCAN-source/contracts/Inspex-CakeMaxi/bsc-alpaca-contract-20c4c545a0323b71d2969fd79db8316e60bc7d76/CakeMaxiWorker.sol:L150-186,True,0,0
train,DAPP::DAppSCAN-source/contracts/consensys-Skyweaver/Skyweaver-contracts-bde0c184db6168bf86656a48b12d5747950b54d9::EternalHeroesFactory,EternalHeroesFactory,1,i:_buy,_buy,L279-285,Reentrancy (SWC-107)|SWC-107-Reentrancy,DAppSCAN-source/contracts/consensys-Skyweaver/Skyweaver-contracts-bde0c184db6168bf86656a48b12d5747950b54d9/contracts/shop/EternalHeroesFactory.sol:279-279|DAppSCAN-source/contracts/consensys-Skyweaver/Skyweaver-contracts-bde0c184db6168bf86656a48b12d5747950b54d9/contracts/shop/EternalHeroesFactory.sol:L279-285,True,0,0
train,DAPP::DAppSCAN-source/contracts/Hacken-Ground Zero/code::IDO,IDO,2,i:claim|i:claimTheInvestments,claim|claimTheInvestments,L86 - L110|L153,Reentrancy (SWC-107)|SWC-107-Reentrancy|Unchecked Call Return (SWC-104)|SWC-104-Unchecked Call Return Value,DAppSCAN-source/contracts/Hacken-Ground Zero/code/IDO.sol:86-110|DAppSCAN-source/contracts/Hacken-Ground Zero/code/IDO.sol:L86 - L110|DAppSCAN-source/contracts/Hacken-Ground Zero/code/IDO.sol:153-153|DAppSCAN-source/contracts/Hacken-Ground Zero/code/IDO.sol:L153,True,0,0
train,DAPP::DAppSCAN-source/contracts/QuillAudits-coalichain/CoaliSC-3f0920d650467279f7ceee08776bd74ecadd3237::Main,Main,1,i:createBallot,createBallot,L51,Reentrancy (SWC-107)|SWC-107-Reentrancy,DAppSCAN-source/contracts/QuillAudits-coalichain/CoaliSC-3f0920d650467279f7ceee08776bd74ecadd3237/Main.sol:51-51|DAppSCAN-source/contracts/QuillAudits-coalichain/CoaliSC-3f0920d650467279f7ceee08776bd74ecadd3237/Main.sol:L51,True,0,0
train,DAPP::DAppSCAN-source/contracts/PeckShield-BabySwap/code::MasterChef,MasterChef,1,i:withdraw,withdraw,L249-L267,Reentrancy (SWC-107)|SWC-107-Reentrancy,DAppSCAN-source/contracts/PeckShield-BabySwap/code/baby-swap-contract-cac289bf978d969c95721c2adb9f199cee72ffa6/contracts/farm/MasterChef.sol:249-267|DAppSCAN-source/contracts/PeckShield-BabySwap/code/baby-swap-contract-cac289bf978d969c95721c2adb9f199cee72ffa6/contracts/farm/MasterChef.sol:L249-L267,True,0,0
train,DAPP::DAppSCAN-source/contracts/PeckShield-Atlantis/atlantis-protocol-bsc-766acebba9316eced1c15abf6158b31f470a947f::AToken,AToken,1,i:borrowFresh,borrowFresh,L738-L802,Reentrancy (SWC-107)|SWC-107-Reentrancy,DAppSCAN-source/contracts/PeckShield-Atlantis/atlantis-protocol-bsc-766acebba9316eced1c15abf6158b31f470a947f/contracts/AToken.sol:738-802|DAppSCAN-source/contracts/PeckShield-Atlantis/atlantis-protocol-bsc-766acebba9316eced1c15abf6158b31f470a947f/contracts/AToken.sol:L738-L802,True,0,0
train,DAPP::DAppSCAN-source/contracts/Trail_of_Bits-Primitive/rmm-core-5dcf4306fc32fb9a4e3c154deb86f6b9d513c344::PrimitiveEngine,PrimitiveEngine,3,i:withdraw|i:allocate|i:swap,withdraw|allocate|swap,L223 - L233|L238 - L270|L304 - L403,Delegatecall (SWC-112)|SWC-112-Delegatecall to Untrusted Callee|Front-running / Tx Order (SWC-114)|SWC-114-Transaction Order Dependence,DAppSCAN-source/contracts/Trail_of_Bits-Primitive/rmm-core-5dcf4306fc32fb9a4e3c154deb86f6b9d513c344/contracts/PrimitiveEngine.sol:223-233|DAppSCAN-source/contracts/Trail_of_Bits-Primitive/rmm-core-5dcf4306fc32fb9a4e3c154deb86f6b9d513c344/contracts/PrimitiveEngine.sol:L223 - L233|DAppSCAN-source/contracts/Trail_of_Bits-Primitive/rmm-core-5dcf4306fc32fb9a4e3c154deb86f6b9d513c344/contracts/PrimitiveEngine.sol:238-270|DAppSCAN-source/contracts/Trail_of_Bits-Primitive/rmm-core-5dcf4306fc32fb9a4e3c154deb86f6b9d513c344/contracts/PrimitiveEngine.sol:L238 - L270|DAppSCAN-source/contracts/Trail_of_Bits-Primitive/rmm-core-5dcf4306fc32fb9a4e3c154deb86f6b9d513c344/contracts/PrimitiveEngine.sol:304-403|DAppSCAN-source/contracts/Trail_of_Bits-Primitive/rmm-core-5dcf4306fc32fb9a4e3c154deb86f6b9d513c344/contracts/PrimitiveEngine.sol:L304 - L403,True,0,0
train,DAPP::DAppSCAN-source/contracts/Hacken-The Next War/Contracts-334fe81ea7282ac4f768de077c37a7932c0302de::Staking,Staking,2,i:deposit|i:payTngReward,deposit|payTngReward,L80|L177,Unchecked Call Return (SWC-104)|SWC-104-Unchecked Call Return Value,DAppSCAN-source/contracts/Hacken-The Next War/Contracts-334fe81ea7282ac4f768de077c37a7932c0302de/contracts/Staking.sol:80-80|DAppSCAN-source/contracts/Hacken-The Next War/Contracts-334fe81ea7282ac4f768de077c37a7932c0302de/contracts/Staking.sol:L80|DAppSCAN-source/contracts/Hacken-The Next War/Contracts-334fe81ea7282ac4f768de077c37a7932c0302de/contracts/Staking.sol:177-177|DAppSCAN-source/contracts/Hacken-The Next War/Contracts-334fe81ea7282ac4f768de077c37a7932c0302de/contracts/Staking.sol:L177,True,0,0
train,DAPP::DAppSCAN-source/contracts/SlowMist-CFFv2 Smart Contract Security Audit Report/cff-contract-v2-c86bef3f13c7585f547f9cd0ca900f94664e96b7::CFVaultV2,CFVaultV2,1,i:withdraw,withdraw,L121 - L153,Reentrancy (SWC-107)|SWC-107-Reentrancy,DAppSCAN-source/contracts/SlowMist-CFFv2 Smart Contract Security Audit Report/cff-contract-v2-c86bef3f13c7585f547f9cd0ca900f94664e96b7/contracts/core/CFVault.sol:L121 - L153,True,0,0
train,DAPP::DAppSCAN-source/contracts/PeckShield-MilkySwap/milkyswap-59f163e9959cf8bae4a521a9648219b553312e07::MasterMilker,MasterMilker,1,i:emergencyWithdraw,emergencyWithdraw,L237-L244,Reentrancy (SWC-107)|SWC-107-Reentrancy,DAppSCAN-source/contracts/PeckShield-MilkySwap/milkyswap-59f163e9959cf8bae4a521a9648219b553312e07/contracts/MasterMilker.sol:237-244|DAppSCAN-source/contracts/PeckShield-MilkySwap/milkyswap-59f163e9959cf8bae4a521a9648219b553312e07/contracts/MasterMilker.sol:L237-L244,True,0,0
train,DAPP::DAppSCAN-source/contracts/QuillAudits-Alium Finance Smart Contract/alium-farm-e37d6af39af68049c2684085f025385407b4bd55::MasterChef,MasterChef,1,i:emergencyWithdraw,emergencyWithdraw,L163 - L171,Reentrancy (SWC-107)|SWC-107-Reentrancy,DAppSCAN-source/contracts/QuillAudits-Alium Finance Smart Contract/alium-farm-e37d6af39af68049c2684085f025385407b4bd55/contracts/MasterChef.sol:163-171|DAppSCAN-source/contracts/QuillAudits-Alium Finance Smart Contract/alium-farm-e37d6af39af68049c2684085f025385407b4bd55/contracts/MasterChef.sol:L163 - L171,True,0,0
train,DAPP::DAppSCAN-source/contracts/consensys-Fei_Protocol_v2_Phase_1/fei-protocol-core-5e3e2ab889f06831f4fe2e8460066ded40ccf0a8::BalancerLBPSwapper,BalancerLBPSwapper,1,i:init,init,L108-118,Front-running / Tx Order (SWC-114)|SWC-114-Transaction Order Dependence,DAppSCAN-source/contracts/consensys-Fei_Protocol_v2_Phase_1/fei-protocol-core-5e3e2ab889f06831f4fe2e8460066ded40ccf0a8/contracts/pcv/balancer/BalancerLBPSwapper.sol:108-108|DAppSCAN-source/contracts/consensys-Fei_Protocol_v2_Phase_1/fei-protocol-core-5e3e2ab889f06831f4fe2e8460066ded40ccf0a8/contracts/pcv/balancer/BalancerLBPSwapper.sol:L108-118,True,0,0
train,DAPP::DAppSCAN-source/contracts/Coinbae-Hakka_Finance_wHakka/code::wHakka,wHakka,2,i:stake|i:unstake,stake|unstake,L556 - L573|L576 - L592,Reentrancy (SWC-107)|SWC-107-Reentrancy,DAppSCAN-source/contracts/Coinbae-Hakka_Finance_wHakka/code/wHakka.sol:556-573|DAppSCAN-source/contracts/Coinbae-Hakka_Finance_wHakka/code/wHakka.sol:L556 - L573|DAppSCAN-source/contracts/Coinbae-Hakka_Finance_wHakka/code/wHakka.sol:576-592|DAppSCAN-source/contracts/Coinbae-Hakka_Finance_wHakka/code/wHakka.sol:L576 - L592,True,0,0
train,DAPP::DAppSCAN-source/contracts/Trail_of_Bits-YieldProtocol/fyDai-4422fda75931f2bfea49f5041ec90dc026e5c03d::Pool,Pool,1,i:init,init,L87 - L99,Front-running / Tx Order (SWC-114)|SWC-114-Transaction Order Dependence,DAppSCAN-source/contracts/Trail_of_Bits-YieldProtocol/fyDai-4422fda75931f2bfea49f5041ec90dc026e5c03d/contracts/pool/Pool.sol:87-99|DAppSCAN-source/contracts/Trail_of_Bits-YieldProtocol/fyDai-4422fda75931f2bfea49f5041ec90dc026e5c03d/contracts/pool/Pool.sol:L87 - L99,True,0,0
train,DAPP::DAppSCAN-source/contracts/QuillAudits-Citrus Smart Contract/CitrusTechContract-e50a2a983928c10b76e6bc374ae6267f51af99b6::TimeLock,TimeLock,1,i:release,release,L132,Unchecked Call Return (SWC-104)|SWC-104-Unchecked Call Return Value,DAppSCAN-source/contracts/QuillAudits-Citrus Smart Contract/CitrusTechContract-e50a2a983928c10b76e6bc374ae6267f51af99b6/CitrusToken.sol:132-132|DAppSCAN-source/contracts/QuillAudits-Citrus Smart Contract/CitrusTechContract-e50a2a983928c10b76e6bc374ae6267f51af99b6/CitrusToken.sol:L132,True,0,0
