split,graph_id,dataset,source,project,contract,source_file,contract_label,n_pos,n_neg,interaction_count,vulnerability_types,scopes,primary_line_span,normalized_contract_hash,contract_signature_hash,function_hashes,family_key
train,FORGE::vfp_00179::ZkStack_CustomGasToken_Adapter,FORGE,FORGE,vfp_00179,ZkStack_CustomGasToken_Adapter,ZkStack_CustomGasToken_Adapter.sol,1,1,2,3,Front-running / Tx Order (heuristic),front-running,ZkStack_CustomGasToken_Adapter.sol#230,8171811e1b5096c9a799f87a2dafbf97fbff2647d9c74d085eda3bd3b61ef5c9,8171811e1b5096c9a799f87a2dafbf97fbff2647d9c74d085eda3bd3b61ef5c9,22bb0d29eb7a0a3fffaea44dd4dde9c86949eb9d348ed6d1c8498ef04a8ee315|553e58b0faf5e31ff3a82943650baa86c0bdff7effc1e748ee00bfa1c97bb6a7|8ec4664e57b99c175c126752ee82a24c61e56e8f38d8cf593552312db6153620,FORGE::vfp_00179
train,FORGE::vfp_00200::CSExitPenalties,FORGE,FORGE,vfp_00200,CSExitPenalties,CSExitPenalties.sol,1,1,3,4,Front-running / Tx Order (heuristic),front-running,CSExitPenalties.sol::processExitDelayReport,2b911f05debed5d75ed0d15527a09a40f5543a9c6850b36cb9d3cd63a3e9f4de,d4c10796c209bdcb97db4dbf9d1d544836cf0d28d4822d3d10e4d66e70034720,05c044497ec15967e7cc54707eab196b025ad28ea6053dcb1a2e847491db4ceb|ac061b99a4c48edafe0ca7af6ce98e1a6ec8b499fda40711d7a0cabdfca04f8f|c1bc5f903b560d24ea06b016b6e7b042adc04ff2d4be86f788efa17eb52c072a|c24775f0028341f88d970d846d51c17c4e441acc1dbf66bd43c285d79ef365ee,FORGE::vfp_00200
train,FORGE::vfp_00200::ValidatorExitDelayVerifier,FORGE,FORGE,vfp_00200,ValidatorExitDelayVerifier,ValidatorExitDelayVerifier.sol,1,1,5,6,Front-running / Tx Order (heuristic),front-running,ValidatorExitDelayVerifier.sol::verifyValidatorExitDelay#178-196,3101eb7da1eb6afc31cadb445832e3684da20adf21ae4278411780754343c795,90a3c04bde419e90cea6ff3df78aa0d1445f20a42d44a271d033e0ee67046ed9,5f03f2bc41a3573aec9b52f3c6aded17689cc20234d952647d8019acc9ba6b64|8b02d922052e9efef207178ccfe741128da820580be56b429f2df47ae3358bb5|8be3ea119e9a18dba6e6c647c2798ca14c0804a063903eb3382e54270899f3bf|bc58f8828c95ba24b440e973d82d1a999f108fa4d4d89a7d17a224bee93fd441|da0bb71ee062260838aeb88c475d392f004eb9ee9a450259669abfcf1f4feb7b|f3d95014ebe288e22491127032f4a5998494a1cd5097c9a6f310144eec3a9eee,FORGE::vfp_00200
train,FORGE::vfp_00153::PolygonStrategy,FORGE,FORGE,vfp_00153,PolygonStrategy,PolygonStrategy.sol,1,1,15,16,Front-running / Tx Order (heuristic),front-running,PolygonStrategy.sol::unbond,ff20c082dbf6ef755d443ce290986362c121517b08a8e7b37fcdee29fc6dd214,9acfb2f1c722fd8be01756e69c77640a5f5e329fc6f243a1200a8ec5e0d6605b,06ca83827b94ec66a3575d67ced5e0423d1e4d06893f9b787c2415a54c64e7fd|0c0e93471c073d98227977a1ad234c942f94bd0ce0aaf2d8762b60e86f2fe274|17b62b75ba8dcc980cc68aef1cb8fce906a3371c2534244d37e784cfa787d896|2767ee7d21cb3b5e9a8585a2ee8ac7fa3606ddd64903cb2056ff291b95393fe0|27749cb59eae6868c70f6aa0b0be986add71e825a93e980a58fff81c4a07f222|45c4bcaaa2e14a4b5d852ef55623be5f9e61b76546f2b445d2db75c9513ca452|4d10283c5718790f916c204b9aa46d318c3f902b0e2b671181093cf3b08684b2|6de795482a2a40b19a359f8da34a381655d7e4b03847d4a67567d7df72da7a15|944373272981b93b54a5a2146cad45fbea3212461f1d8e48dd76d999acb6c81e|9e0d1de6783a4f9308e8ce48d5c83e9565f53d63a0efef0822d8e689d20109dc|9f2739e545a70e613164df7f09d6bea9b009bb064bac0b3622fd1139048e4fda|b76a89f02cd9a15570c6e3232419bf993cf96cc1d769a9a8b582090a1c2ffe1f|c74991acc0d02a0f6593852a88f1fff05149e1b38639f0f719a1d090b850d58f|d19e92adb998ef77e5b9bdaffe92e2c9dd1f24fe3a477d34b4cea76d8f9b2920|d7c4e32d5ba3a368a5558ac78a0754058f7f645e94450b91032ed183c391f513|e7e309d9d5ae61f2f9e3ae7efdae28be46d21a1f9d955d324a8a38a1836f0ef8,FORGE::vfp_00153
train,FORGE::vfp_00174::P2pResolvProxy,FORGE,FORGE,vfp_00174,P2pResolvProxy,P2pResolvProxy.sol,1,2,3,5,"CWE:CWE-435,CWE-436,CWE-437|CWE:CWE-670,CWE-691",other,P2pResolvProxy.sol::initiateWithdrawalRESOLVAccruedRewards,581384a769bd31ce7d5ebf31785e34c68245c8c2454cf7159d308f0cfa5dba2f,9f1007c4d0c7f3c2263eb17b7a43564af3629c6a2db6500f69b8de7a633a8c32,192ebd3e2640c30af11b0d137c088dc89c6b88ea063d521af90ec7a430b561ce|36a75e2c49355cf16bb2f311a954f78df7a1e0fa94dc4f36b0e8a54a14ae6b54|4b4a5089602c51eb99106bb1a6ada2969ecb8c886e592336d1d48238b3c7afae|92e88aedba04a9a57337b326cddaa68f9775c758a4e031f72cf619aa8b6ed93a|94cc4983660637964557974aeef81ce140deda9ee5b5734a78f019cdecb5c87d,FORGE::vfp_00174
train,FORGE::vfp_00116::L1Mailbox,FORGE,FORGE,vfp_00116,L1Mailbox,L1Mailbox.sol,1,1,3,4,"CWE:CWE-670,CWE-691",other,L1Mailbox.sol::getMsg#204-215,9c62333de72d19430d2adcedb48525a222710ca39b887f779909eaf97d3b6989,d6a5e4b81ea3daef64dc64eab82bcfe37bf8588d0ac522cf6bf0101e47b0c96d,39bffaee7f708d3bc91afbb6a01a288516595b20e813d17cd0bfc9db6bdb64b1|4e8f2ceb31a231e45408accdbd730e3672215bdb20204204d89dcfe8ed862fb8|5fca947f094f95dfedd4ef0fe71f8e99c73b25956f7e637e8e78febeb8a1d749|629bcd5672280d3a97f43e9eb0173875eeccd2c683bf3b2ca1d212e673cf2935,FORGE::vfp_00116
train,FORGE::vfp_00116::L2Mailbox,FORGE,FORGE,vfp_00116,L2Mailbox,,0,0,1,1,,,,5adf5135cca639890f78b38056b5ae90d9fd628ed14083539514bf9251581d92,5adf5135cca639890f78b38056b5ae90d9fd628ed14083539514bf9251581d92,6a2e689fc9e6577bfc4c8e948ee667780a7f5bf5b48d522c59e0c2865675f882,FORGE::vfp_00116
train,FORGE::vfp_00116::L1ETHBridge,FORGE,FORGE,vfp_00116,L1ETHBridge,,0,0,1,1,,,,5a05a61607820fc12ec11bebabedacc4e683766cd0b9758ea2a78545b518de28,5a05a61607820fc12ec11bebabedacc4e683766cd0b9758ea2a78545b518de28,00514f2eedb7a01f34ab16a75a7e70f0054c7e5282168675baf01b8c5f342e60,FORGE::vfp_00116
train,FORGE::vfp_00096::MarketConfigurator,FORGE,FORGE,vfp_00096,MarketConfigurator,MarketConfigurator.sol,1,1,16,17,"CWE:CWE-670,CWE-691",other,MarketConfigurator.sol::_migrateFactoryTargets,8a83b20eb6fbccfeebe6967cff589fea5d18fab93d13a0eac1f52df995944391,c12804d29cd15353c3e8e02097384804872c24165f98d0df7bc882779ee82857,18011ec94c762d9400011da5c8b2099f099ef146e7948eff9fb10fdd5edb2221|19a0b0d3cf8e39f58f932472731b2617c5839bf761951d4f7ea217e34b58a3b0|2eca2482b7829a2c17637c7057a4b7ea831a0519153d4fe62f9b26945202483c|35510bd1a876b55360784ef088a318c1a7c7b2515540702c726f445c28937d8d|45894e11ed7a65fff97f93c7fae83dcb72387337663244841cbbc56603f29793|77fddb15efa62f7a506c01ce2c1a0ff67c3be9083577f2929f4f1cb78b51127f|7c3a54d0071a9d10c207e4df538a9551ada9cdb0e98cd83fbd0e234ce5c5a14f|82f02a8a87c9f6af75b8174e31936a2045f5ad4b014d1e174208aa43f268d308|8b11d7ceee07e6310dc3628821155787dd9851a11856e8eef0a36f1c0bcc68df|8e2f3cab32f221dc3f225a99b5e412f069835e99822ab9520e41310e8974d767|90021d98fa5a55d939cc68fb48004210190b3da3e1faa6a56c9d1136f44c83c7|c10a211e093b6b7a53dfb06e35dca6f9c097a2d6654689f4b8b912ad6ca2988a|ce048f72fd9ce6095120df088e31665a7ea87c302507070e89f209b1b8e84c11|d171463e35a1c3e0137f797a43e189aa4b4a004ecfa001b03d0b81f69962830f|d2e0c4bfff89bf8a82eec65c772006e386aaa3017ffc022a90e824580553ac0c|eba81ede7e3ffda3b1b82c37f86c7c4ac327bdbc22e7072267bab01f28ead093|ec611ff15238c0c1b19b578706b15ec83db10239328e3f2daf5cf3ef244ac53f,FORGE::vfp_00096
train,FORGE::vfp_00175::P2pYieldProxy,FORGE,FORGE,vfp_00175,P2pYieldProxy,P2pYieldProxy.sol,1,1,1,2,"CWE:CWE-670,CWE-691",other,P2pYieldProxy.sol::_withdraw,e9e52f501ca3a78bfa78dd301127499293ab3beb8300db93a47804aec199b948,2774a14d3502cece7e228513d51dd9dc91335a4106f50b238070ef7506727972,cc549696e10b5370d4c439c7ee75bc915562506b20644fff858d86759f7ee049|f9342062921542c7a67e45cfac3303c28bc2f76c4f164e2dfb3ca096d315b5f5,FORGE::vfp_00175
train,FORGE::vfp_00007::Folio,FORGE,FORGE,vfp_00007,Folio,Folio.sol,1,4,13,17,"CWE:CWE-691,CWE-834",other,Folio.sol::mint,6a7edc360b35edd4bce661653aea1a4f849c0dde2aa6cd9ed4a7ce9953d98bab,bf100760de1f22b3a61e5a5a3543fdf790e314b504e40db0ab908222fc7ea131,024a4943f20e45553682207914c37aacc8f9b32189c09ba930e6d78d53a6aa27|05fe24d7c3467b70d5b1a31a2fa7640b2314e76caf3a4cd51f734f2569f8aa72|0b6a66b6173b7c4a18de461629472ed80f3122c8b00214d3b3572f31ae71a5b6|14a0a5ee654c3e79f69b9c6bcdbac1dacee938d11a4346599701e061614eebe3|20e91eacb30a8a40db73d817fb7279e55b339822298bf02084dbc24c44b9fb8f|2ccaa4d423ce7b2ac6ed75485f4c0f6efcda07789747a92a0ed51820baed5a46|3be38f26530dfa8b4d6ccea975cab5595f74a2d524d2107ad67069a5b5c9fc09|5cadda6f9286158b0a60a8a06c0857a73bdc711e83036f424784eac0379f10f7|691e795c65ddabb06420ca52b60be99f80e9517f04500cb5abf99f880b5e6dba|70be5cdca04ff00b9ecf6a90e259b3724acbd97b6fd4c8589c582861cbe14cd0|8ffeca75bb6aa25ea463208d5fb9ad8e9afdd39bff4757a4185f7b9cb0651817|972039597639d770a8c50359f7f73afd8b968d17baf1c932e4536823d844c46b|b0a89563e65a17418593fc7203e3367b6af29b16bb8786a1b48c005b1c0e050e|cd4c1e1aec7c0b959c5a27420834581931974e8553a33a31744ac05413797dd5|dcd3cb9ddf9bf3c7e91c96dccd263291b7d0610df35406e7a3935e498cde8408|ed2810c2659610ed87e58a4cc5c49a751f28d15955d84efee128210ec2e579f4|f9894401cd021346f568bf4f62d9020a8f5569e3ea88610681400606b5652dc3,FORGE::vfp_00007
train,FORGE::vfp_00045::PDPVerifier,FORGE,FORGE,vfp_00045,PDPVerifier,,1,1,9,10,,,,5cf71ec13881e996b59dae18540ac46dc142d9fbd9d25cf4465962cf3c9b4feb,5cf71ec13881e996b59dae18540ac46dc142d9fbd9d25cf4465962cf3c9b4feb,25dc45d19749ccf852169055fc276e3742b3e0e4889a9200f030daafb383acb0|36f273a1e9624c4e6bf53c25189d230c7f93f2ed322d99a39aea11cb2745fad3|40098739eed47fbb3bfe0b205f1e925ac567e6926bbfb7a1d107f4debea4241c|53740ed492e9361d6edd37cc0f6cb92f0de209522e5e6c28beaee92bb049d0e5|73efa7a91bb3d26977dc99ca556939bb1bc9bcdfd80a5994e3dc4adeebe13a27|87d55b3ee5d634a5d53ff4966ffac69ecf4e647cae37b378883e4c66c9d2afbc|88583e25b5ceb2bfa727889e1eb7920f357f660e333ff1c790f47e3d14c3fd36|8cecc327fd30b6605101d6e4e10ef5695e65ad2f99514ec6030cc9b5ef484e88|a172c77a608a6a013021dd091a05f4dfb9be879487d62998e6baaedeb381b3c1|d368549cf06a0223ac6501db68ac8e53b26cf1c90589e20920126359ac4fe143,FORGE::vfp_00045
train,FORGE::vfp_00260::Arbitrum_Adapter,FORGE,FORGE,vfp_00260,Arbitrum_Adapter,,0,0,2,2,,,,672a4c9fb7ea718d65959c996e6bcb5aa7aca260ab0599e677e5c3a582606e09,672a4c9fb7ea718d65959c996e6bcb5aa7aca260ab0599e677e5c3a582606e09,1140f3c3eb11e16c409ebb89ccd28908566382c0ddadcfe86a1776e7ef25745d|b9adc561ca0200e381fcb98cb0a12dcef11665718e09f3d58bf355fffc869394,FORGE::vfp_00260
train,FORGE::vfp_00260::Ovm_WithdrawalHelper,FORGE,FORGE,vfp_00260,Ovm_WithdrawalHelper,,0,0,1,1,,,,b052fdbb426f10b5b2c8f3b7b67b9dc4b75c36035892d17e16cfd9cf759b5303,b052fdbb426f10b5b2c8f3b7b67b9dc4b75c36035892d17e16cfd9cf759b5303,ee1372aa61f39dafdf79a4bb3412c1093d8034d055ef06dee1f027dc336072df,FORGE::vfp_00260
train,FORGE::vfp_00260::Optimism_Adapter,FORGE,FORGE,vfp_00260,Optimism_Adapter,,0,0,1,1,,,,d38aa3b8f3915ce5f28cc343c8b3469978daa58a3ae0693d56c691f20a4fd9ba,d38aa3b8f3915ce5f28cc343c8b3469978daa58a3ae0693d56c691f20a4fd9ba,507f9cc372e4880748bca85826c2ebdc33dfc44e187419833efad76501a42abc,FORGE::vfp_00260
train,FORGE::vfp_00260::Router_Adapter,FORGE,FORGE,vfp_00260,Router_Adapter,Arbitrum_Adapter.sol,1,2,0,2,"CWE:CWE-362,CWE-691",other,Arbitrum_Adapter.sol#L87-L96,81ed982f54a3354906c30510a986998bd6aa34a385ee84ddee0b1de55a3fc929,81ed982f54a3354906c30510a986998bd6aa34a385ee84ddee0b1de55a3fc929,25e9d51dfa877771c189a6133df2fb76e8b74618ca41f6d268b76913c7552dff|5008d00f52c0c2fa94e00fb13a66907e7f22313403dab1b91a10788218f9ed75,FORGE::vfp_00260
train,FORGE::vfp_00186::MerkleDistributor,FORGE,FORGE,vfp_00186,MerkleDistributor,MerkleDistributor.sol,1,1,1,2,Front-running / Tx Order (heuristic),front-running,MerkleDistributor.sol::claim#61,5d8ca37902f396e21fbf1007629b8b4848e4b5363a8813cbac8b9208d0097831,0c451990ab7ea14f37f13f1d9be9840011a4644d1c4ba80dd744f7af636e137f,99fb6d9a68db604b411b2a847855cdf0fcc37a117a62969c4eaeed433153fc9d|af7307ef6c63a3bc26a567cbd4783914498366ba8a302a301c1545caa71c735d,FORGE::vfp_00186
train,FORGE::vfp_00224::OidcRecoveryValidator,FORGE,FORGE,vfp_00224,OidcRecoveryValidator,OidcRecoveryValidator.sol,1,1,1,2,"CWE:CWE-188,CWE-198,CWE-435",other,OidcRecoveryValidator.sol::startRecovery#231-233,9edc132b260e8a09a3fda790361507686a78aeed36a0b82fbcda80de1c146cfc,cd87ebd8aa6ce3479fa23af92ada0016ed1df24bc28f7ffedfb51535661a1a11,459847385d4c6ce33174bfbfa189e1ee50376e9a6f3b77e25626970f071a1722|4955e3943cfda1f202a02a777656dde8592921ad995b37c4ddc4882f44ef1a90,FORGE::vfp_00224
train,FORGE::vfp_00221::LimitOrderHook,FORGE,FORGE,vfp_00221,LimitOrderHook,LimitOrderHook.sol,1,4,3,7,"CWE:CWE-670,CWE-691|Reentrancy (heuristic)",other|reentrancy,LimitOrderHook.sol#563,1a2fb765ae1cb3099928af095ad2786c1f14f07c6e9e520f9bda30c2850d2a9f,1a2fb765ae1cb3099928af095ad2786c1f14f07c6e9e520f9bda30c2850d2a9f,011cd5a746da56d19c883da8b4d7a23a8d7cbb7054ea075d89ffe2a37b3f787b|082d06d57fcd325a2168b0ca4e489b83d129460e0fd51735ee7b354a933433a9|1728c293d6d9c8160753160ed3c0234e10fe8007c8777880fea1384b43fbd757|214faa40b7e2434a2c04633750945b48ff59b8f34e437e9d487f5d958a408b38|317ab1c549bc15bfd9049b8a5ea8b450708cb525df423bcf9ff4f718b652bdf8|b3da75149c48b58d0367eaa1b280e0d0f36913a6b15de74430c1f005e6c5a0b0|d02a00eb85753c107625ad94ff56a3001005a5c3df2a9e95afdd7925d7ec2250,FORGE::vfp_00221
train,FORGE::vfp_00234::mErc20Host,FORGE,FORGE,vfp_00234,mErc20Host,validators.rs,1,1,1,2,"CWE:CWE-431,CWE-691",other,validators.rs#195,60895cb25533af6a03cd4bc8f73757d131b63910703fd6a6c30f526578e7534b,60895cb25533af6a03cd4bc8f73757d131b63910703fd6a6c30f526578e7534b,87f5ad90892c80a916335323e1e2d3cc33c81e087059b7e3ff526d59219d0426|debeb983a8187f08602d7ae6bd04e577522a998d0a9380338376d4b43b85dab7,FORGE::vfp_00234
train,FORGE::vfp_00032::AbstractStakingStrategy,FORGE,FORGE,vfp_00032,AbstractStakingStrategy,,0,0,10,10,,,,1a3064ff0e2ceded35689e9d59f7a95b01927c6aa3cdc2baa0c537d11bf5b079,1a3064ff0e2ceded35689e9d59f7a95b01927c6aa3cdc2baa0c537d11bf5b079,010000fa8dee69747ff3258479eb2f4a97e87f4155432f4a7c10cd81bdb34b1c|19c4099dff5fbedbb2e6cf5e6a0c84dc6d30c601012abe6697dc205f36785558|22cb7ee0bf1237d865f5c13aed3fb7448d3ea25c2c589f4f41454ab76b501c99|4a8aad49373aa24c79cc11e4c76d52ff59d3333edd1bdeee046455d345951daa|52cab6f6e7568dda4fa340f27dec74414dc181bcda89114527cd82301904df40|822c52b2d7cba3003aa55211af662dbec5f095cbea8f2b422fb562c9261c052f|9f5c81c73ae06a16542e43874e671bf3bf9a7b4a21e509330e853dedf3cdaab2|be8d79747369230a19c7357269fd0c4b5303aeed27158a47bebd0562d22ca954|f5cce47def8c16d4057c85cf4833a5ba0bd1e6a8cfc192cb6ad481a05db59320|f6255d32685b36430f6d5f9c0819d3ae46dcd4964008c29a37b5f10e64251ab2,FORGE::vfp_00032
train,FORGE::vfp_00032::RewardManagerMixin,FORGE,FORGE,vfp_00032,RewardManagerMixin,,0,0,6,6,,,,dc80abfe85decff8a9f5f97f0ddcdfe55e994cabc33c4e934ed83232bd81b592,dc80abfe85decff8a9f5f97f0ddcdfe55e994cabc33c4e934ed83232bd81b592,010000fa8dee69747ff3258479eb2f4a97e87f4155432f4a7c10cd81bdb34b1c|19c4099dff5fbedbb2e6cf5e6a0c84dc6d30c601012abe6697dc205f36785558|2dcf1dbba3f5b2704ad97442b789c974243d48670aa40b8cc56e43704acfefe8|9f5c81c73ae06a16542e43874e671bf3bf9a7b4a21e509330e853dedf3cdaab2|be8d79747369230a19c7357269fd0c4b5303aeed27158a47bebd0562d22ca954|f6255d32685b36430f6d5f9c0819d3ae46dcd4964008c29a37b5f10e64251ab2,FORGE::vfp_00032
