raw_id,dataset,project,file_path,contract,function,line_span,finding_id,title,severity,vulnerability_type,scope,source_available,vtype_recoverable,location_available,evidence_pointer,normalized_source_hash,normalized_contract_hash,converted_to_hyperedge,included_in_graph,graph_id,graph_split,dropped_reason
DAPP::DAppSCAN-source/contracts/BlockSec-blocksec_alpaca_v1.0_signed/bsc-alpaca-contract-cb13e32fe5a4ba6f63b0235bd4624715592e4abe/contracts/8.10/protocol/PriceHelper.sol::0,DAppSCAN,DAppSCAN-source/contracts/BlockSec-blocksec_alpaca_v1.0_signed/bsc-alpaca-contract-cb13e32fe5a4ba6f63b0235bd4624715592e4abe,DAppSCAN-source/contracts/BlockSec-blocksec_alpaca_v1.0_signed/bsc-alpaca-contract-cb13e32fe5a4ba6f63b0235bd4624715592e4abe/contracts/8.10/protocol/PriceHelper.sol,PriceHelper,getTokenPrice,// SWC-116-Block values as a proxy for time,0,SWC-116-Block values as a proxy for time,,SWC-116-Block values as a proxy for time,other,True,True,True,DAppSCAN-source/contracts/BlockSec-blocksec_alpaca_v1.0_signed/bsc-alpaca-contract-cb13e32fe5a4ba6f63b0235bd4624715592e4abe/contracts/8.10/protocol/PriceHelper.sol:-,,4b89f318bd53a9b7d2399b0dda57faba678868432c5f508e61c771dbd950f51a,False,False,,,outside_priority_interaction_scope
DAPP::DAppSCAN-source/contracts/BlockSec-blocksec_coordinape_v1.1_signed/coordinape-protocol-7a8e6173305696c72195fa4242126d284611270c/contracts/ApeProtocol/wrapper/beacon/ApeVault.sol::0,DAppSCAN,DAppSCAN-source/contracts/BlockSec-blocksec_coordinape_v1.1_signed/coordinape-protocol-7a8e6173305696c72195fa4242126d284611270c,DAppSCAN-source/contracts/BlockSec-blocksec_coordinape_v1.1_signed/coordinape-protocol-7a8e6173305696c72195fa4242126d284611270c/contracts/ApeProtocol/wrapper/beacon/ApeVault.sol,,,L64,0,SWC-135-Code With No Effects,,SWC-135-Code With No Effects,other,True,True,False,DAppSCAN-source/contracts/BlockSec-blocksec_coordinape_v1.1_signed/coordinape-protocol-7a8e6173305696c72195fa4242126d284611270c/contracts/ApeProtocol/wrapper/beacon/ApeVault.sol:64-64,,,False,False,,,outside_priority_interaction_scope
DAPP::DAppSCAN-source/contracts/BlockSec-blocksec_coordinape_v1.1_signed/coordinape-protocol-7a8e6173305696c72195fa4242126d284611270c/contracts/ApeProtocol/wrapper/beacon/ApeVault.sol::1,DAppSCAN,DAppSCAN-source/contracts/BlockSec-blocksec_coordinape_v1.1_signed/coordinape-protocol-7a8e6173305696c72195fa4242126d284611270c,DAppSCAN-source/contracts/BlockSec-blocksec_coordinape_v1.1_signed/coordinape-protocol-7a8e6173305696c72195fa4242126d284611270c/contracts/ApeProtocol/wrapper/beacon/ApeVault.sol,,,L71,1,SWC-135-Code With No Effects,,SWC-135-Code With No Effects,other,True,True,False,DAppSCAN-source/contracts/BlockSec-blocksec_coordinape_v1.1_signed/coordinape-protocol-7a8e6173305696c72195fa4242126d284611270c/contracts/ApeProtocol/wrapper/beacon/ApeVault.sol:71-71,,,False,False,,,outside_priority_interaction_scope
DAPP::DAppSCAN-source/contracts/BlockSec-blocksec_coordinape_v1.1_signed/coordinape-protocol-7a8e6173305696c72195fa4242126d284611270c/contracts/ApeProtocol/wrapper/beacon/ApeVault.sol::2,DAppSCAN,DAppSCAN-source/contracts/BlockSec-blocksec_coordinape_v1.1_signed/coordinape-protocol-7a8e6173305696c72195fa4242126d284611270c,DAppSCAN-source/contracts/BlockSec-blocksec_coordinape_v1.1_signed/coordinape-protocol-7a8e6173305696c72195fa4242126d284611270c/contracts/ApeProtocol/wrapper/beacon/ApeVault.sol,ApeVaultWrapperImplementation,apeWithdrawSimpleToken,L133-135,2,SWC-105-Unprotected Ether Withdrawal,,SWC-105-Unprotected Ether Withdrawal,other,True,True,True,DAppSCAN-source/contracts/BlockSec-blocksec_coordinape_v1.1_signed/coordinape-protocol-7a8e6173305696c72195fa4242126d284611270c/contracts/ApeProtocol/wrapper/beacon/ApeVault.sol:133-133,,99959c845a6abf171eeb1c3150c40fd23e3a584d44ca16cacd5d288ff521c97b,False,False,,,outside_priority_interaction_scope
DAPP::DAppSCAN-source/contracts/BlockSec-blocksec_impossible_finance_swap_v1.2/impossible-swap-core-29aaef89f996acdbee92b67c4d95fb608dc8b876/contracts/ImpossibleWrappedToken.sol::2,DAppSCAN,DAppSCAN-source/contracts/BlockSec-blocksec_impossible_finance_swap_v1.2/impossible-swap-core-29aaef89f996acdbee92b67c4d95fb608dc8b876,DAppSCAN-source/contracts/BlockSec-blocksec_impossible_finance_swap_v1.2/impossible-swap-core-29aaef89f996acdbee92b67c4d95fb608dc8b876/contracts/ImpossibleWrappedToken.sol,ImpossibleWrappedToken,deposit,L65-73,2,SWC-114-Transaction Order Dependence,,Front-running / Tx Order (SWC-114),front-running,True,True,True,DAppSCAN-source/contracts/BlockSec-blocksec_impossible_finance_swap_v1.2/impossible-swap-core-29aaef89f996acdbee92b67c4d95fb608dc8b876/contracts/ImpossibleWrappedToken.sol:65-65,,1f153764bfa37df18850d5842a72420e15b1d7f3a4d8b9e83662d38d5c15cb5f,False,False,,,not_constructable_as_state_plus_external_call_hyperedge
DAPP::DAppSCAN-source/contracts/BlockSec-blocksec_multichain_vemult_v1.0_signed/veMULTI-bac804399d1ea280e5bd8cdc9488b6fa6a0a7fcc/contracts/VEReward.sol::0,DAppSCAN,DAppSCAN-source/contracts/BlockSec-blocksec_multichain_vemult_v1.0_signed/veMULTI-bac804399d1ea280e5bd8cdc9488b6fa6a0a7fcc,DAppSCAN-source/contracts/BlockSec-blocksec_multichain_vemult_v1.0_signed/veMULTI-bac804399d1ea280e5bd8cdc9488b6fa6a0a7fcc/contracts/VEReward.sol,Reward,getBlockByTime,L119-134,0,SWC-113-DoS with Failed Call,,SWC-113-DoS with Failed Call,other,True,True,True,DAppSCAN-source/contracts/BlockSec-blocksec_multichain_vemult_v1.0_signed/veMULTI-bac804399d1ea280e5bd8cdc9488b6fa6a0a7fcc/contracts/VEReward.sol:119-119,,4c800a43158fb76c04361c91f58ae423cad6ee7fc6fab24811941e02066f7865,False,False,,,outside_priority_interaction_scope
DAPP::DAppSCAN-source/contracts/BlockSec-blocksec_multichain_vemult_v1.0_signed/veMULTI-bac804399d1ea280e5bd8cdc9488b6fa6a0a7fcc/contracts/VEReward.sol::1,DAppSCAN,DAppSCAN-source/contracts/BlockSec-blocksec_multichain_vemult_v1.0_signed/veMULTI-bac804399d1ea280e5bd8cdc9488b6fa6a0a7fcc,DAppSCAN-source/contracts/BlockSec-blocksec_multichain_vemult_v1.0_signed/veMULTI-bac804399d1ea280e5bd8cdc9488b6fa6a0a7fcc/contracts/VEReward.sol,Reward,claimRewardMany,L269-275,1,SWC-128-DoS With Block Gas Limit,,SWC-128-DoS With Block Gas Limit,other,True,True,True,DAppSCAN-source/contracts/BlockSec-blocksec_multichain_vemult_v1.0_signed/veMULTI-bac804399d1ea280e5bd8cdc9488b6fa6a0a7fcc/contracts/VEReward.sol:269-269,,4c800a43158fb76c04361c91f58ae423cad6ee7fc6fab24811941e02066f7865,False,False,,,outside_priority_interaction_scope
DAPP::DAppSCAN-source/contracts/BlockSec-blocksec_multichain_vemult_v1.0_signed/veMULTI-bac804399d1ea280e5bd8cdc9488b6fa6a0a7fcc/contracts/ve.sol::0,DAppSCAN,DAppSCAN-source/contracts/BlockSec-blocksec_multichain_vemult_v1.0_signed/veMULTI-bac804399d1ea280e5bd8cdc9488b6fa6a0a7fcc,DAppSCAN-source/contracts/BlockSec-blocksec_multichain_vemult_v1.0_signed/veMULTI-bac804399d1ea280e5bd8cdc9488b6fa6a0a7fcc/contracts/ve.sol,IERC721,ownerOf,L491-493,0,SWC-112-Delegatecall to Untrusted Callee,,Delegatecall (SWC-112),delegatecall,True,True,True,DAppSCAN-source/contracts/BlockSec-blocksec_multichain_vemult_v1.0_signed/veMULTI-bac804399d1ea280e5bd8cdc9488b6fa6a0a7fcc/contracts/ve.sol:491-491,,7280bbd93690d115a0e798d0bdc5470d42cf22703c5391d40169bb333f7d831f,False,False,,,not_constructable_as_state_plus_external_call_hyperedge
DAPP::DAppSCAN-source/contracts/BlockSec-blocksec_multichain_vemult_v1.0_signed/veMULTI-bac804399d1ea280e5bd8cdc9488b6fa6a0a7fcc/contracts/ve.sol::1,DAppSCAN,DAppSCAN-source/contracts/BlockSec-blocksec_multichain_vemult_v1.0_signed/veMULTI-bac804399d1ea280e5bd8cdc9488b6fa6a0a7fcc,DAppSCAN-source/contracts/BlockSec-blocksec_multichain_vemult_v1.0_signed/veMULTI-bac804399d1ea280e5bd8cdc9488b6fa6a0a7fcc/contracts/ve.sol,IERC721,safeTransferFrom,L675-697,1,SWC-104-Unchecked Call Return Value,,Unchecked Call Return (SWC-104),unchecked low-level call,True,True,True,DAppSCAN-source/contracts/BlockSec-blocksec_multichain_vemult_v1.0_signed/veMULTI-bac804399d1ea280e5bd8cdc9488b6fa6a0a7fcc/contracts/ve.sol:675-675,,7280bbd93690d115a0e798d0bdc5470d42cf22703c5391d40169bb333f7d831f,False,False,,,not_constructable_as_state_plus_external_call_hyperedge
DAPP::DAppSCAN-source/contracts/BlockSec-blocksec_stnd_v1.7_signed/standard-evm-d7c016ca098a4e5a554583c499fc0cead4db7088/contracts/pools/liquidation/Liquidator.sol::0,DAppSCAN,DAppSCAN-source/contracts/BlockSec-blocksec_stnd_v1.7_signed/standard-evm-d7c016ca098a4e5a554583c499fc0cead4db7088,DAppSCAN-source/contracts/BlockSec-blocksec_stnd_v1.7_signed/standard-evm-d7c016ca098a4e5a554583c499fc0cead4db7088/contracts/pools/liquidation/Liquidator.sol,liquidator,distribute,L35,0,SWC-105-Unprotected Ether Withdrawal,,SWC-105-Unprotected Ether Withdrawal,other,True,True,True,DAppSCAN-source/contracts/BlockSec-blocksec_stnd_v1.7_signed/standard-evm-d7c016ca098a4e5a554583c499fc0cead4db7088/contracts/pools/liquidation/Liquidator.sol:35-35,,0486b32e60dc6c56312f0910ea77b04cd54ca4629fe66090f3fdc6a9317e7114,False,False,,,outside_priority_interaction_scope
DAPP::DAppSCAN-source/contracts/BlockSec-blocksec_stnd_v1.7_signed/standard-evm-d7c016ca098a4e5a554583c499fc0cead4db7088/contracts/vaults/meter/Vault.sol::0,DAppSCAN,DAppSCAN-source/contracts/BlockSec-blocksec_stnd_v1.7_signed/standard-evm-d7c016ca098a4e5a554583c499fc0cead4db7088,DAppSCAN-source/contracts/BlockSec-blocksec_stnd_v1.7_signed/standard-evm-d7c016ca098a4e5a554583c499fc0cead4db7088/contracts/vaults/meter/Vault.sol,Vault,getStatus,L72-89,0,SWC-119-Shadowing State Variables,,SWC-119-Shadowing State Variables,other,True,True,True,DAppSCAN-source/contracts/BlockSec-blocksec_stnd_v1.7_signed/standard-evm-d7c016ca098a4e5a554583c499fc0cead4db7088/contracts/vaults/meter/Vault.sol:72-72,,7924587e556ee9f6ce9ab970e60ee9acdb4133b870559d7032abfcd0f5a04d48,False,False,,,outside_priority_interaction_scope
DAPP::DAppSCAN-source/contracts/BlockSec-blocksec_stnd_v1.7_signed/standard-evm-d7c016ca098a4e5a554583c499fc0cead4db7088/contracts/vaults/meter/VaultManager.sol::0,DAppSCAN,DAppSCAN-source/contracts/BlockSec-blocksec_stnd_v1.7_signed/standard-evm-d7c016ca098a4e5a554583c499fc0cead4db7088,DAppSCAN-source/contracts/BlockSec-blocksec_stnd_v1.7_signed/standard-evm-d7c016ca098a4e5a554583c499fc0cead4db7088/contracts/vaults/meter/VaultManager.sol,VaultManager,isValidCDP,L156-166,0,SWC-101-Integer Overflow and Underflow,,SWC-101-Integer Overflow and Underflow,other,True,True,True,DAppSCAN-source/contracts/BlockSec-blocksec_stnd_v1.7_signed/standard-evm-d7c016ca098a4e5a554583c499fc0cead4db7088/contracts/vaults/meter/VaultManager.sol:156-156,,18c034f645aa59b73f035edcc40534f71d7e66d15d182926651d65e0034c6c65,False,False,,,outside_priority_interaction_scope
DAPP::DAppSCAN-source/contracts/Blockchain Labs NZ-Beam/beam-11b086ca757f1612cd67c1bf6d7ab470591676b1/contracts/BeamToken.sol::0,DAppSCAN,DAppSCAN-source/contracts/Blockchain Labs NZ-Beam/beam-11b086ca757f1612cd67c1bf6d7ab470591676b1,DAppSCAN-source/contracts/Blockchain Labs NZ-Beam/beam-11b086ca757f1612cd67c1bf6d7ab470591676b1/contracts/BeamToken.sol,,ManagerUpdated,L17,0,SWC-129-Typographical Error,,SWC-129-Typographical Error,other,True,True,True,DAppSCAN-source/contracts/Blockchain Labs NZ-Beam/beam-11b086ca757f1612cd67c1bf6d7ab470591676b1/contracts/BeamToken.sol:17-17,,,False,False,,,outside_priority_interaction_scope
DAPP::DAppSCAN-source/contracts/Blockchain Labs NZ-Beam/beam-11b086ca757f1612cd67c1bf6d7ab470591676b1/contracts/BeamToken.sol::1,DAppSCAN,DAppSCAN-source/contracts/Blockchain Labs NZ-Beam/beam-11b086ca757f1612cd67c1bf6d7ab470591676b1,DAppSCAN-source/contracts/Blockchain Labs NZ-Beam/beam-11b086ca757f1612cd67c1bf6d7ab470591676b1/contracts/BeamToken.sol,Ownable,setManager,L72,1,SWC-129-Typographical Error,,SWC-129-Typographical Error,other,True,True,True,DAppSCAN-source/contracts/Blockchain Labs NZ-Beam/beam-11b086ca757f1612cd67c1bf6d7ab470591676b1/contracts/BeamToken.sol:72-72,,1176631c6e5908d0c20b07e67eac0f330d1a3cab9ac0d93ca934048ed35db05c,False,False,,,outside_priority_interaction_scope
DAPP::DAppSCAN-source/contracts/Blockchain Labs NZ-BitHero/BitHeroToken-master/AllocatedCrowdsaleMixin.sol::0,DAppSCAN,DAppSCAN-source/contracts/Blockchain Labs NZ-BitHero/BitHeroToken-master,DAppSCAN-source/contracts/Blockchain Labs NZ-BitHero/BitHeroToken-master/AllocatedCrowdsaleMixin.sol,AllocatedCrowdsaleMixin,isBreakingCap,L38,0,SWC-100-Function Default Visibility,,SWC-100-Function Default Visibility,other,True,True,True,DAppSCAN-source/contracts/Blockchain Labs NZ-BitHero/BitHeroToken-master/AllocatedCrowdsaleMixin.sol:38-38,,83b5541463fb517cf3d9adc3bc3c64172ad8c72a54bd155b654bbbb694b707a8,False,False,,,outside_priority_interaction_scope
DAPP::DAppSCAN-source/contracts/Blockchain Labs NZ-BitHero/BitHeroToken-master/Crowdsale.sol::0,DAppSCAN,DAppSCAN-source/contracts/Blockchain Labs NZ-BitHero/BitHeroToken-master,DAppSCAN-source/contracts/Blockchain Labs NZ-BitHero/BitHeroToken-master/Crowdsale.sol,Crowdsale,setRequireCustomerId,L149,0,SWC-100-Function Default Visibility,,SWC-100-Function Default Visibility,other,True,True,True,DAppSCAN-source/contracts/Blockchain Labs NZ-BitHero/BitHeroToken-master/Crowdsale.sol:149-149,,95e7d9d95cb73f090475efd34f3940b44b5f0bed7c29c3d5a5be328c11a3d89b,False,False,,,outside_priority_interaction_scope
DAPP::DAppSCAN-source/contracts/Blockchain Labs NZ-BitHero/BitHeroToken-master/Crowdsale.sol::1,DAppSCAN,DAppSCAN-source/contracts/Blockchain Labs NZ-BitHero/BitHeroToken-master,DAppSCAN-source/contracts/Blockchain Labs NZ-BitHero/BitHeroToken-master/Crowdsale.sol,Crowdsale,setRequireSignedAddress,L161,1,SWC-100-Function Default Visibility,,SWC-100-Function Default Visibility,other,True,True,True,DAppSCAN-source/contracts/Blockchain Labs NZ-BitHero/BitHeroToken-master/Crowdsale.sol:161-161,,95e7d9d95cb73f090475efd34f3940b44b5f0bed7c29c3d5a5be328c11a3d89b,False,False,,,outside_priority_interaction_scope
DAPP::DAppSCAN-source/contracts/Blockchain Labs NZ-BitHero/BitHeroToken-master/CrowdsaleBase.sol::0,DAppSCAN,DAppSCAN-source/contracts/Blockchain Labs NZ-BitHero/BitHeroToken-master,DAppSCAN-source/contracts/Blockchain Labs NZ-BitHero/BitHeroToken-master/CrowdsaleBase.sol,,,L1 - L467,0,SWC-103-Floating Pragma,,SWC-103-Floating Pragma,other,True,True,False,DAppSCAN-source/contracts/Blockchain Labs NZ-BitHero/BitHeroToken-master/CrowdsaleBase.sol:1-467,,,False,False,,,outside_priority_interaction_scope
DAPP::DAppSCAN-source/contracts/Blockchain Labs NZ-BitHero/BitHeroToken-master/CrowdsaleBase.sol::1,DAppSCAN,DAppSCAN-source/contracts/Blockchain Labs NZ-BitHero/BitHeroToken-master,DAppSCAN-source/contracts/Blockchain Labs NZ-BitHero/BitHeroToken-master/CrowdsaleBase.sol,CrowdsaleBase,setEarlyParicipantWhitelist,L414 - L417,1,SWC-129-Typographical Error,,SWC-129-Typographical Error,other,True,True,True,DAppSCAN-source/contracts/Blockchain Labs NZ-BitHero/BitHeroToken-master/CrowdsaleBase.sol:414-417,,1b2648d308e45e9ac00bd19fa4d134834f06d1bdc910547fea4bf8ab8a396530,False,False,,,outside_priority_interaction_scope
DAPP::DAppSCAN-source/contracts/Blockchain Labs NZ-BitHero/BitHeroToken-master/DefaultFinalizeAgent.sol::0,DAppSCAN,DAppSCAN-source/contracts/Blockchain Labs NZ-BitHero/BitHeroToken-master,DAppSCAN-source/contracts/Blockchain Labs NZ-BitHero/BitHeroToken-master/DefaultFinalizeAgent.sol,,,L8,0,SWC-102-Outdated Compiler Version,,SWC-102-Outdated Compiler Version,other,True,True,False,DAppSCAN-source/contracts/Blockchain Labs NZ-BitHero/BitHeroToken-master/DefaultFinalizeAgent.sol:8-8,,,False,False,,,outside_priority_interaction_scope
